file,category,key,scale,genre,bpm,bars,notes,description
Arps/By-Genre/01_Deep-House/Am_01_Deep-House_arp_up.mid,arp,A,natural_minor,01_Deep-House,122,4,64,01_Deep-House arp (up) — A
Arps/By-Genre/02_Future-House/Am_02_Future-House_arp_octave_up.mid,arp,A,natural_minor,02_Future-House,126,4,64,02_Future-House arp (octave_up) — A
Arps/By-Genre/03_Progressive-House/Am_03_Progressive-House_arp_updown.mid,arp,A,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House arp (updown) — A
Arps/By-Genre/04_Tech-House/Am_04_Tech-House_arp_up.mid,arp,A,natural_minor,04_Tech-House,126,3,48,04_Tech-House arp (up) — A
Arps/By-Genre/05_Techno/Am_05_Techno_arp_up.mid,arp,A,natural_minor,05_Techno,130,4,64,05_Techno arp (up) — A
Arps/By-Genre/06_Melodic-Techno/Am_06_Melodic-Techno_arp_updown.mid,arp,A,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno arp (updown) — A
Arps/By-Genre/07_Trance/Am_07_Trance_arp_updown.mid,arp,A,natural_minor,07_Trance,138,4,64,07_Trance arp (updown) — A
Arps/By-Genre/08_Hardstyle/Am_08_Hardstyle_arp_up.mid,arp,A,natural_minor,08_Hardstyle,150,4,64,08_Hardstyle arp (up) — A
Arps/By-Genre/09_Hardcore-Gabber/Am_09_Hardcore-Gabber_arp_up.mid,arp,A,natural_minor,09_Hardcore-Gabber,180,3,48,09_Hardcore-Gabber arp (up) — A
Arps/By-Genre/10_Dubstep/Am_10_Dubstep_arp_up.mid,arp,A,natural_minor,10_Dubstep,140,3,48,10_Dubstep arp (up) — A
Arps/By-Genre/11_Future-Bass/Am_11_Future-Bass_arp_octave_up.mid,arp,A,natural_minor,11_Future-Bass,150,4,64,11_Future-Bass arp (octave_up) — A
Arps/By-Genre/12_Lofi-Chill/Am_12_Lofi-Chill_arp_up.mid,arp,A,natural_minor,12_Lofi-Chill,85,4,64,12_Lofi-Chill arp (up) — A
Arps/By-Scale/A-minor/Am_arp_down.mid,arp,A,natural_minor,,124,4,64,A minor arpeggio — down
Arps/By-Scale/A-minor/Am_arp_octave_up.mid,arp,A,natural_minor,,124,4,64,A minor arpeggio — octave_up
Arps/By-Scale/A-minor/Am_arp_up.mid,arp,A,natural_minor,,124,4,64,A minor arpeggio — up
Arps/By-Scale/A-minor/Am_arp_updown.mid,arp,A,natural_minor,,124,4,64,A minor arpeggio — updown
Arps/By-Scale/As-minor/Asm_arp_down.mid,arp,As,natural_minor,,124,4,64,As minor arpeggio — down
Arps/By-Scale/As-minor/Asm_arp_octave_up.mid,arp,As,natural_minor,,124,4,64,As minor arpeggio — octave_up
Arps/By-Scale/As-minor/Asm_arp_up.mid,arp,As,natural_minor,,124,4,64,As minor arpeggio — up
Arps/By-Scale/As-minor/Asm_arp_updown.mid,arp,As,natural_minor,,124,4,64,As minor arpeggio — updown
Arps/By-Scale/B-minor/Bm_arp_down.mid,arp,B,natural_minor,,124,4,64,B minor arpeggio — down
Arps/By-Scale/B-minor/Bm_arp_octave_up.mid,arp,B,natural_minor,,124,4,64,B minor arpeggio — octave_up
Arps/By-Scale/B-minor/Bm_arp_up.mid,arp,B,natural_minor,,124,4,64,B minor arpeggio — up
Arps/By-Scale/B-minor/Bm_arp_updown.mid,arp,B,natural_minor,,124,4,64,B minor arpeggio — updown
Arps/By-Scale/C-minor/Cm_arp_down.mid,arp,C,natural_minor,,124,4,64,C minor arpeggio — down
Arps/By-Scale/C-minor/Cm_arp_octave_up.mid,arp,C,natural_minor,,124,4,64,C minor arpeggio — octave_up
Arps/By-Scale/C-minor/Cm_arp_up.mid,arp,C,natural_minor,,124,4,64,C minor arpeggio — up
Arps/By-Scale/C-minor/Cm_arp_updown.mid,arp,C,natural_minor,,124,4,64,C minor arpeggio — updown
Arps/By-Scale/Cs-minor/Csm_arp_down.mid,arp,Cs,natural_minor,,124,4,64,Cs minor arpeggio — down
Arps/By-Scale/Cs-minor/Csm_arp_octave_up.mid,arp,Cs,natural_minor,,124,4,64,Cs minor arpeggio — octave_up
Arps/By-Scale/Cs-minor/Csm_arp_up.mid,arp,Cs,natural_minor,,124,4,64,Cs minor arpeggio — up
Arps/By-Scale/Cs-minor/Csm_arp_updown.mid,arp,Cs,natural_minor,,124,4,64,Cs minor arpeggio — updown
Arps/By-Scale/D-minor/Dm_arp_down.mid,arp,D,natural_minor,,124,4,64,D minor arpeggio — down
Arps/By-Scale/D-minor/Dm_arp_octave_up.mid,arp,D,natural_minor,,124,4,64,D minor arpeggio — octave_up
Arps/By-Scale/D-minor/Dm_arp_up.mid,arp,D,natural_minor,,124,4,64,D minor arpeggio — up
Arps/By-Scale/D-minor/Dm_arp_updown.mid,arp,D,natural_minor,,124,4,64,D minor arpeggio — updown
Arps/By-Scale/Ds-minor/Dsm_arp_down.mid,arp,Ds,natural_minor,,124,4,64,Ds minor arpeggio — down
Arps/By-Scale/Ds-minor/Dsm_arp_octave_up.mid,arp,Ds,natural_minor,,124,4,64,Ds minor arpeggio — octave_up
Arps/By-Scale/Ds-minor/Dsm_arp_up.mid,arp,Ds,natural_minor,,124,4,64,Ds minor arpeggio — up
Arps/By-Scale/Ds-minor/Dsm_arp_updown.mid,arp,Ds,natural_minor,,124,4,64,Ds minor arpeggio — updown
Arps/By-Scale/E-minor/Em_arp_down.mid,arp,E,natural_minor,,124,4,64,E minor arpeggio — down
Arps/By-Scale/E-minor/Em_arp_octave_up.mid,arp,E,natural_minor,,124,4,64,E minor arpeggio — octave_up
Arps/By-Scale/E-minor/Em_arp_up.mid,arp,E,natural_minor,,124,4,64,E minor arpeggio — up
Arps/By-Scale/E-minor/Em_arp_updown.mid,arp,E,natural_minor,,124,4,64,E minor arpeggio — updown
Arps/By-Scale/F-minor/Fm_arp_down.mid,arp,F,natural_minor,,124,4,64,F minor arpeggio — down
Arps/By-Scale/F-minor/Fm_arp_octave_up.mid,arp,F,natural_minor,,124,4,64,F minor arpeggio — octave_up
Arps/By-Scale/F-minor/Fm_arp_up.mid,arp,F,natural_minor,,124,4,64,F minor arpeggio — up
Arps/By-Scale/F-minor/Fm_arp_updown.mid,arp,F,natural_minor,,124,4,64,F minor arpeggio — updown
Arps/By-Scale/Fs-minor/Fsm_arp_down.mid,arp,Fs,natural_minor,,124,4,64,Fs minor arpeggio — down
Arps/By-Scale/Fs-minor/Fsm_arp_octave_up.mid,arp,Fs,natural_minor,,124,4,64,Fs minor arpeggio — octave_up
Arps/By-Scale/Fs-minor/Fsm_arp_up.mid,arp,Fs,natural_minor,,124,4,64,Fs minor arpeggio — up
Arps/By-Scale/Fs-minor/Fsm_arp_updown.mid,arp,Fs,natural_minor,,124,4,64,Fs minor arpeggio — updown
Arps/By-Scale/G-minor/Gm_arp_down.mid,arp,G,natural_minor,,124,4,64,G minor arpeggio — down
Arps/By-Scale/G-minor/Gm_arp_octave_up.mid,arp,G,natural_minor,,124,4,64,G minor arpeggio — octave_up
Arps/By-Scale/G-minor/Gm_arp_up.mid,arp,G,natural_minor,,124,4,64,G minor arpeggio — up
